ard_millis,GPS Epoch Time,lat (deg),lat (min), long (deg),long (min),el (m),SOG (mm/s),COG (deg*1000),Vert Vel (mm/s)
291655,1489675404.60,-122,-2956818,37,3022318,-37.65,45,77930,48
292052,1489675405.00,-122,-2956817,37,3022318,-37.67,12,77970,56
292462,1489675405.40,-122,-2956841,37,3022306,-36.78,16,77800,19
292851,1489675405.80,-122,-2956851,37,3022299,-36.41,51,74050,26
293255,1489675406.20,-122,-2956864,37,3022292,-35.89,31,97450,-33
293654,1489675406.60,-122,-2956866,37,3022287,-35.78,133,99280,-92
294053,1489675407.00,-122,-2956862,37,3022288,-35.87,9,98650,-62
294453,1489675407.40,-122,-2956858,37,3022289,-35.97,53,98280,-64
294850,1489675407.80,-122,-2956857,37,3022290,-35.98,31,97620,-44
295245,1489675408.20,-122,-2956857,37,3022288,-35.94,123,98220,42
295651,1489675408.60,-122,-2956859,37,3022283,-35.78,242,100020,29
296046,1489675409.00,-122,-2956853,37,3022278,-35.88,423,149880,76
296450,1489675409.40,-122,-2956848,37,3022265,-35.73,749,152930,8
296845,1489675409.80,-122,-2956841,37,3022247,-35.59,964,156460,45
297244,1489675410.20,-122,-2956828,37,3022230,-35.50,1002,153020,-104
297650,1489675410.60,-122,-2956814,37,3022214,-35.53,978,154170,-172
298043,1489675411.00,-122,-2956804,37,3022198,-35.56,1120,155430,-148
298457,1489675411.40,-122,-2956796,37,3022178,-35.49,1088,157080,14
298840,1489675411.80,-122,-2956784,37,3022158,-35.49,1143,157390,191
299237,1489675412.20,-122,-2956776,37,3022135,-35.46,1183,157770,328
299644,1489675412.60,-122,-2956763,37,3022111,-35.45,1299,155850,290
300036,1489675413.00,-122,-2956747,37,3022085,-35.48,1364,155000,193
300437,1489675413.40,-122,-2956746,37,3022054,-35.01,1339,157920,127
300832,1489675413.80,-122,-2956744,37,3022027,-34.57,1169,156460,48
301236,1489675414.20,-122,-2956743,37,3022005,-34.11,999,153990,47
301637,1489675414.60,-122,-2956737,37,3021983,-34.08,985,157990,8
302032,1489675415.00,-122,-2956730,37,3021964,-34.00,950,158340,37
302428,1489675415.40,-122,-2956716,37,3021950,-34.28,723,155240,132
302825,1489675415.80,-122,-2956708,37,3021934,-34.18,911,155240,-29
303226,1489675416.20,-122,-2956699,37,3021917,-34.24,1045,155790,63
303630,1489675416.60,-122,-2956687,37,3021898,-34.21,981,153040,40
304025,1489675417.00,-122,-2956679,37,3021878,-34.06,958,155590,86
304424,1489675417.40,-122,-2956666,37,3021861,-34.08,906,153070,26
304822,1489675417.80,-122,-2956658,37,3021847,-34.01,668,151260,-18
305223,1489675418.20,-122,-2956643,37,3021834,-34.01,775,146770,-81
305623,1489675418.60,-122,-2956628,37,3021826,-34.11,475,144120,-24
306020,1489675419.00,-122,-2956619,37,3021815,-34.08,489,147570,12
306417,1489675419.40,-122,-2956613,37,3021803,-34.01,501,153230,-37
306821,1489675419.80,-122,-2956606,37,3021789,-33.96,689,153630,-113
307220,1489675420.20,-122,-2956596,37,3021775,-33.89,683,154690,-115
307623,1489675420.60,-122,-2956597,37,3021749,-33.83,1328,177880,-43
308019,1489675421.00,-122,-2956595,37,3021732,-33.96,980,177320,-132
308418,1489675421.40,-122,-2956590,37,3021710,-34.12,1037,173370,-49
308819,1489675421.80,-122,-2956591,37,3021686,-33.90,1180,170990,-128
309219,1489675422.20,-122,-2956582,37,3021666,-33.97,1091,168210,-131
309626,1489675422.60,-122,-2956569,37,3021653,-34.28,1044,172970,-10
310016,1489675423.00,-122,-2956551,37,3021644,-34.51,928,171770,42
310415,1489675423.40,-122,-2956550,37,3021619,-34.44,1299,177940,-90
310808,1489675423.80,-122,-2956546,37,3021598,-34.44,1039,179030,-189
311209,1489675424.20,-122,-2956545,37,3021572,-34.45,1326,181940,-79
311613,1489675424.60,-122,-2956547,37,3021559,-34.37,557,168130,8
312010,1489675425.00,-122,-2956546,37,3021546,-34.40,799,182000,154
312401,1489675425.40,-122,-2956549,37,3021538,-34.51,750,187210,88
312803,1489675425.80,-122,-2956553,37,3021533,-34.68,711,193330,79
313206,1489675426.20,-122,-2956557,37,3021522,-34.73,633,195810,138
313608,1489675426.60,-122,-2956563,37,3021512,-34.83,698,200720,212
314003,1489675427.00,-122,-2956565,37,3021513,-34.76,828,207720,83
314400,1489675427.40,-122,-2956567,37,3021521,-34.56,891,211410,126
314800,1489675427.80,-122,-2956592,37,3021508,-34.34,1037,227480,95
315203,1489675428.20,-122,-2956605,37,3021492,-34.72,1063,222470,130
315602,1489675428.60,-122,-2956630,37,3021475,-34.74,1339,226090,138
315998,1489675429.00,-122,-2956652,37,3021462,-34.91,1224,227950,28
316397,1489675429.40,-122,-2956681,37,3021449,-34.95,1346,233180,57
316792,1489675429.80,-122,-2956708,37,3021434,-35.30,1464,235120,237
317194,1489675430.20,-122,-2956741,37,3021422,-35.44,1459,239620,29
317597,1489675430.60,-122,-2956778,37,3021406,-35.60,1637,239540,190
317995,1489675431.00,-122,-2956818,37,3021392,-35.66,1838,241330,147
318394,1489675431.40,-122,-2956867,37,3021374,-35.57,2150,242490,86
318789,1489675431.80,-122,-2956920,37,3021358,-35.61,2394,245530,204
319191,1489675432.20,-122,-2956979,37,3021343,-35.63,2564,247430,143
319594,1489675432.60,-122,-2957041,37,3021322,-35.87,2882,246580,173
319987,1489675433.00,-122,-2957109,37,3021313,-36.00,3162,246700,12
320391,1489675433.40,-122,-2957188,37,3021282,-35.93,3502,246270,22
320784,1489675433.80,-122,-2957278,37,3021246,-35.93,3779,245740,-17
321187,1489675434.20,-122,-2957378,37,3021207,-35.94,4038,245070,4
321589,1489675434.60,-122,-2957480,37,3021168,-35.97,4193,244880,93
321986,1489675435.00,-122,-2957586,37,3021121,-35.73,4452,243190,116
322381,1489675435.40,-122,-2957699,37,3021078,-35.76,4712,243380,198
322779,1489675435.80,-122,-2957818,37,3021028,-35.65,5001,242940,102
323180,1489675436.20,-122,-2957941,37,3020975,-35.69,5228,242090,103
323584,1489675436.60,-122,-2958071,37,3020921,-35.66,5441,242140,163
323977,1489675437.00,-122,-2958207,37,3020864,-35.64,5774,242070,75
324378,1489675437.40,-122,-2958347,37,3020804,-35.63,5971,241330,17
324775,1489675437.80,-122,-2958492,37,3020741,-35.66,6166,241340,19
325175,1489675438.20,-122,-2958642,37,3020680,-35.71,6269,242200,52
325578,1489675438.60,-122,-2958797,37,3020618,-35.69,6360,242710,-12
