ard_millis,type,message
3149590,INFO,start analysis m: 0 t: 1 e: 19
3174490,INFO,complete analysis m: 0 t: 1 e: 19
3200655,INFO,start analysis m: 0 t: 1 e: 20
3225159,INFO,complete analysis m: 0 t: 1 e: 20
3251730,INFO,start analysis m: 0 t: 1 e: 21
3276204,INFO,complete analysis m: 0 t: 1 e: 21
3290370,WARN,wd unserviced for 887
3303593,INFO,start analysis m: 0 t: 1 e: 22
3328512,INFO,complete analysis m: 0 t: 1 e: 22
3354664,INFO,start analysis m: 0 t: 1 e: 23
3379482,INFO,complete analysis m: 0 t: 1 e: 23
3405731,INFO,start analysis m: 0 t: 1 e: 24
3430647,INFO,complete analysis m: 0 t: 1 e: 24
3456796,INFO,start analysis m: 0 t: 1 e: 25
3481679,INFO,complete analysis m: 0 t: 1 e: 25
3507867,INFO,start analysis m: 0 t: 1 e: 26
3532775,INFO,complete analysis m: 0 t: 1 e: 26
3558944,INFO,start analysis m: 0 t: 1 e: 27
3583737,INFO,complete analysis m: 0 t: 1 e: 27
3610005,INFO,start analysis m: 0 t: 1 e: 28
3634221,INFO,complete analysis m: 0 t: 1 e: 28
3661082,INFO,start analysis m: 0 t: 1 e: 29
3685552,INFO,complete analysis m: 0 t: 1 e: 29
3712149,INFO,start analysis m: 0 t: 1 e: 30
3722967,WARN,wd unserviced for 1121
3738318,INFO,complete analysis m: 0 t: 1 e: 30
3764015,INFO,start analysis m: 0 t: 1 e: 31
3788793,INFO,complete analysis m: 0 t: 1 e: 31
3815081,INFO,start analysis m: 0 t: 1 e: 32
3839887,INFO,complete analysis m: 0 t: 1 e: 32
3866142,INFO,start analysis m: 0 t: 1 e: 33
3890948,INFO,complete analysis m: 0 t: 1 e: 33
3890972,WARN,stat timeout
3890991,INFO,process stats m: 0 t: 1 e: 34
3891105,INFO,finished collection sending m: 0
3891382,INFO,start collection m: 0
3908364,ERROR,external RAM failure!
3908382,INFO,RAM fail reset trigger!
